,count,mean,std,min,25%,50%,75%,max,skewness
lcd,34.0,10.265174117647058,5.467553905071937,4.86958,6.02818,9.37902,11.47976,26.33515,1.4408294778605752
pld,34.0,6.532305,2.692113382115463,3.83278,4.5320075,5.468145,8.4905025,13.71867,1.2351002483506321
pld_path,34.0,9.769160294117645,4.587414318208677,4.84433,5.872052500000001,9.225345,11.32129,22.78048,1.0760117608645758
asa_m2_g,34.0,2042.7585588235293,1417.1094051943608,395.678,789.22875,1577.355,3235.37,5134.06,0.6463737776155566
asa_m2_cm3,34.0,1500.5420294117646,515.3729813227349,607.539,983.0595,1588.625,1931.5525,2234.79,-0.04241185883495789
void_fraction,34.0,0.3010611764705883,0.1711204416488256,0.10336,0.134855,0.28363,0.40914,0.6875,0.720976267962471
pore_vol_cm3_g,34.0,0.4666457558823529,0.5040457064018808,0.0549051,0.107346,0.283455,0.62490025,2.01364,1.970828847986197
density_g_cm3,34.0,0.9833582647058824,0.421818397856256,0.33727,0.6555705,0.9995885,1.218185,2.30944,0.9199837710518098
uc_volume_A3,34.0,15658.239323529408,16747.35673991908,833.647,3215.9925000000003,10400.349999999999,19120.050000000003,65324.1,1.5601069703898762
n_atoms_uc,34.0,522.8529411764706,429.94729291862865,56.0,188.0,450.0,731.0,2112.0,1.6577205612370953
n_elements,34.0,4.676470588235294,0.6840427168698413,4.0,4.0,5.0,5.0,6.0,0.5168850129555647
n_metal_atoms,34.0,21.41176470588235,19.30633064184,2.0,12.0,12.0,24.0,72.0,1.3630269500211505
n_C,34.0,238.8235294117647,229.6976234475856,0.0,81.5,212.0,312.0,1152.0,2.062932958359828
n_H,34.0,149.7058823529412,117.28456185362957,0.0,58.0,112.0,264.0,480.0,0.7661087847060986
n_N,34.0,31.823529411764707,37.756372601380285,0.0,0.0,8.0,76.0,96.0,0.6814380365328973
n_O,34.0,73.1470588235294,73.52679674494323,0.0,12.25,50.0,102.0,270.0,1.0972226061949737
n_Zn,34.0,2.7058823529411766,6.206201257318827,0.0,0.0,0.0,0.0,24.0,2.1831181791951955
n_Cu,34.0,8.176470588235293,16.5976825476828,0.0,0.0,0.0,6.0,54.0,1.9746603422857223
n_Ni,34.0,0.47058823529411764,2.1494931624955154,0.0,0.0,0.0,0.0,12.0,5.10025486670318
n_Co,34.0,4.411764705882353,14.867327707260655,0.0,0.0,0.0,0.0,72.0,3.8494376556558443
has_oms,34.0,0.7941176470588235,0.4104256301219048,0.0,1.0,1.0,1.0,1.0,-1.5228093816030983
